"","sample.name","start.day","end.day","new.cells","did.it.migrate","asymp","midp","sca","sample","start.sum","model.start.sum","model.end.sum","pop.growth","perc.clust","tsqrt","tsqrtnorm","cells","asymptote","midpoint","scale","Subsample"
"1","26B.1.4",4,5,4,"No",909.0273,13.3691,3.2372,"26B.1.4",32,47.6703813044683,63.7147852004475,31.7147852004475,0.125,2,0.110860690689956,7.51592299240522,909.0273,13.3691,3.2372,1
"2","26B.1.4",4,5,1,"No",909.0273,13.3691,3.2372,"26B.1.4",32,47.6703813044683,63.7147852004475,31.7147852004475,0.03125,1,0.0554303453449782,2.75796149620261,909.0273,13.3691,3.2372,1
"3","26B.1.4",4,5,1.41010590838734,"Yes",909.0273,13.3691,3.2372,"26B.1.4",32,47.6703813044683,63.7147852004475,31.7147852004475,0.0440658096371044,1.18747880334233,0.0658223601591071,3.49764792221991,909.0273,13.3691,3.2372,1
"4","26B.1.4",4,5,2.58989409161266,"Yes",909.0273,13.3691,3.2372,"26B.1.4",32,47.6703813044683,63.7147852004475,31.7147852004475,0.0809341903628956,1.6093147894718,0.0892048745492028,5.41900752677349,909.0273,13.3691,3.2372,1
"5","26B.1.4",4,5,4,"No",909.0273,13.3691,3.2372,"26B.1.4",32,47.6703813044683,63.7147852004475,31.7147852004475,0.125,2,0.110860690689956,7.51592299240522,909.0273,13.3691,3.2372,1
"6","26B.1.4",4,5,1,"No",909.0273,13.3691,3.2372,"26B.1.4",32,47.6703813044683,63.7147852004475,31.7147852004475,0.03125,1,0.0554303453449782,2.75796149620261,909.0273,13.3691,3.2372,1
"7","26B.1.4",4,5,3,"No",909.0273,13.3691,3.2372,"26B.1.4",32,47.6703813044683,63.7147852004475,31.7147852004475,0.09375,1.73205080756888,0.0960081744185913,6.04487862917272,909.0273,13.3691,3.2372,1
"8","26B.1.4",4,5,5,"No",909.0273,13.3691,3.2372,"26B.1.4",32,47.6703813044683,63.7147852004475,31.7147852004475,0.15625,2.23606797749979,0.12394602020766,8.93092140733627,909.0273,13.3691,3.2372,1
"9","26B.1.4",4,5,1.15458861342166,"Yes",909.0273,13.3691,3.2372,"26B.1.4",32,47.6703813044683,63.7147852004475,31.7147852004475,0.0360808941694268,1.07451785160678,0.0595608955939081,3.04354962352873,909.0273,13.3691,3.2372,1
"10","26B.1.4",4,5,4.84541138657834,"Yes",909.0273,13.3691,3.2372,"26B.1.4",32,47.6703813044683,63.7147852004475,31.7147852004475,0.151419105830573,2.20122951701506,0.122014912311704,8.71508812179548,909.0273,13.3691,3.2372,1
"11","26B.1.4",4,5,4,"No",909.0273,13.3691,3.2372,"26B.1.4",32,47.6703813044683,63.7147852004475,31.7147852004475,0.125,2,0.110860690689956,7.51592299240522,909.0273,13.3691,3.2372,1
"12","26B.10.4",4,5,4,"No",1028.765,14.221,7.089,"26B.10.4",51,196.766760102481,220.196055830939,169.196055830939,0.0784313725490196,2,0.0765333890110514,16.9491475600448,1028.765,14.221,7.089,1
