Volume (pixel^3)	Surface (pixel^2)	Nb of obj. voxels	Nb of surf. voxels	IntDen	Mean	StdDev	Median	Min	Max	X	Y	Z	Mean dist. to surf. (pixel)	SD dist. to surf. (pixel)	Median dist. to surf. (pixel)	XM	YM	ZM	BX	BY	BZ	B-width	B-height	B-depth
14932	14932	14932	9880	3807660	255	0	255	255	255	731.501	539.264	0	708.274	106.455	727.910	731.527	539.303	0	0	0	0	1435	1077	0
127	127	127	40	32385	255	0	255	255	255	1108.488	113.693	0	6.412	2.252	6.795	1108.489	113.693	0	1101	107	0	16	15	0
64	64	64	28	16320	255	0	255	255	255	1055.969	162.062	0	4.191	1.206	4.057	1055.969	162.062	0	1053	156	0	7	13	0
119	119	119	34	30345	255	0	255	255	255	1005.353	221.782	0	5.726	0.644	5.713	1005.354	221.782	0	999	216	0	13	12	0
160	160	160	38	40800	255	0	255	255	255	1027.850	231.613	0	6.723	0.602	6.697	1027.851	231.613	0	1021	225	0	15	14	0
23	23	23	14	5865	255	0	255	255	255	959.348	242.043	0	2.243	0.364	2.247	959.348	242.043	0	957	240	0	6	5	0
24	24	24	18	6120	255	0	255	255	255	954.792	247.750	0	2.398	0.951	2.445	954.792	247.750	0	953	244	0	6	7	0
602	602	602	80	153510	255	0	255	255	255	916.857	298.068	0	13.391	0.810	13.385	916.858	298.068	0	902	284	0	29	29	0
68	68	68	28	17340	255	0	255	255	255	953.118	308.632	0	4.208	1.412	4.268	953.118	308.632	0	949	303	0	10	12	0
163	163	163	42	41565	255	0	255	255	255	1141.540	325.939	0	6.795	1.593	6.946	1141.541	325.939	0	1136	317	0	12	19	0
353	353	353	62	90015	255	0	255	255	255	739.943	353.691	0	10.229	1.506	9.973	739.945	353.691	0	727	345	0	26	18	0
227	227	227	48	57885	255	0	255	255	255	699.507	354.463	0	8.050	0.626	7.941	699.508	354.463	0	691	346	0	18	17	0
297	297	297	53	75735	255	0	255	255	255	843.013	360.690	0	9.386	1.211	9.448	843.015	360.690	0	832	352	0	23	19	0
23	23	23	16	5865	255	0	255	255	255	635.000	356.043	0	2.402	0.875	2.256	635.000	356.043	0	631	354	0	8	5	0
25	25	25	17	6375	255	0	255	255	255	643.800	355.760	0	2.439	0.845	2.810	643.800	355.760	0	641	354	0	7	5	0
141	141	141	38	35955	255	0	255	255	255	837.333	381.993	0	6.238	0.833	6.495	837.334	381.993	0	832	375	0	12	15	0
210	210	210	46	53550	255	0	255	255	255	402.081	382.076	0	7.728	1.009	7.811	402.081	382.076	0	393	376	0	19	14	0
95	95	95	37	24225	255	0	255	255	255	232.800	390.011	0	5.156	1.676	5.793	232.800	390.011	0	225	386	0	15	10	0
162	162	162	58	41310	255	0	255	255	255	299.500	407.630	0	6.137	1.676	6.567	299.500	407.630	0	292	400	0	16	16	0
152	152	152	38	38760	255	0	255	255	255	1326.092	409.901	0	6.544	0.701	6.513	1326.093	409.901	0	1319	404	0	15	13	0
187	187	187	44	47685	255	0	255	255	255	999.893	420.588	0	7.309	0.910	7.534	999.894	420.588	0	992	414	0	17	15	0
185	185	185	52	47175	255	0	255	255	255	426.622	429.676	0	6.788	1.579	7.134	426.622	429.676	0	419	421	0	17	18	0
222	222	222	46	56610	255	0	255	255	255	1369.360	428.626	0	7.980	0.792	7.917	1369.361	428.626	0	1360	422	0	19	16	0
106	106	106	31	27030	255	0	255	255	255	1302.160	433.783	0	5.409	0.845	5.532	1302.161	433.783	0	1297	427	0	11	14	0
329	329	329	61	83895	255	0	255	255	255	833.897	441.046	0	9.951	2.408	9.890	833.898	441.046	0	821	434	0	28	16	0
213	213	213	54	54315	255	0	255	255	255	487.714	445.408	0	7.524	1.441	7.686	487.714	445.409	0	479	436	0	19	19	0
176	176	176	47	44880	255	0	255	255	255	789.500	459.153	0	7.416	2.451	7.724	789.501	459.154	0	781	451	0	18	18	0
326	326	326	61	83130	255	0	255	255	255	1120.521	466.595	0	9.847	1.943	10.416	1120.523	466.595	0	1110	454	0	21	25	0
568	568	568	97	144840	255	0	255	255	255	809.042	486.648	0	13.421	4.355	14.654	809.043	486.648	0	793	469	0	35	34	0
85	85	85	26	21675	255	0	255	255	255	752.553	488.494	0	4.804	0.599	4.779	752.553	488.494	0	748	483	0	10	12	0
167	167	167	40	42585	255	0	255	255	255	1016.024	489.653	0	6.847	0.912	6.830	1016.025	489.653	0	1008	484	0	17	12	0
452	452	452	86	115260	255	0	255	255	255	1182.396	499.015	0	12.196	4.534	11.732	1182.397	499.016	0	1163	490	0	38	20	0
136	136	136	36	34680	255	0	255	255	255	764.456	497.360	0	6.293	1.145	6.516	764.457	497.360	0	757	491	0	16	13	0
176	176	176	42	44880	255	0	255	255	255	1357.114	501.716	0	7.061	0.875	7.002	1357.115	501.716	0	1351	493	0	14	18	0
340	340	340	70	86700	255	0	255	255	255	720.715	510.074	0	9.931	2.575	10.187	720.716	510.074	0	709	500	0	25	21	0
22	22	22	13	5610	255	0	255	255	255	1389.773	502.136	0	2.259	0.687	2.231	1389.773	502.136	0	1387	500	0	7	5	0
529	529	529	93	134895	255	0	255	255	255	862.301	519.998	0	13.667	5.314	13.633	862.301	519.998	0	851	501	0	25	41	0
152	152	152	39	38760	255	0	255	255	255	1307.770	517.539	0	6.495	0.802	6.635	1307.771	517.539	0	1302	510	0	12	16	0
122	122	122	34	31110	255	0	255	255	255	760.525	518.295	0	5.771	0.302	5.758	760.525	518.295	0	755	513	0	13	12	0
119	119	119	34	30345	255	0	255	255	255	1354.941	521.286	0	5.773	0.985	5.766	1354.942	521.286	0	1350	514	0	11	15	0
180	180	180	40	45900	255	0	255	255	255	933.283	527.556	0	7.142	0.508	7.211	933.284	527.555	0	927	520	0	14	16	0
169	169	169	43	43095	255	0	255	255	255	1083.763	527.899	0	6.907	1.402	7.310	1083.765	527.899	0	1077	520	0	14	17	0
275	275	275	54	70125	255	0	255	255	255	686.353	531.262	0	8.971	1.490	8.721	686.354	531.262	0	676	524	0	22	16	0
36	36	36	17	9180	255	0	255	255	255	874.083	527.611	0	3.065	0.529	2.980	874.083	527.611	0	871	524	0	7	9	0
