Volume (pixel^3)	Surface (pixel^2)	Nb of obj. voxels	Nb of surf. voxels	IntDen	Mean	StdDev	Median	Min	Max	X	Y	Z	Mean dist. to surf. (pixel)	SD dist. to surf. (pixel)	Median dist. to surf. (pixel)	XM	YM	ZM	BX	BY	BZ	B-width	B-height	B-depth
23147	23147	23147	10725	5902485	255	0	255	255	255	778.594	602.952	0	756.245	112.747	768.573	778.674	602.884	0	0	0	0	1570	1204	0
268	268	268	54	68340	255	0	255	255	255	147.590	83.440	0	8.781	1.531	8.721	147.590	83.440	0	137	76	0	23	16	0
97	97	97	31	24735	255	0	255	255	255	113.887	95.495	0	5.143	1.047	5.342	113.887	95.495	0	108	91	0	13	10	0
152	152	152	40	38760	255	0	255	255	255	214.533	101.842	0	6.593	1.146	6.697	214.533	101.842	0	209	94	0	13	16	0
45	45	45	19	11475	255	0	255	255	255	155.356	104.133	0	3.355	0.294	3.358	155.356	104.133	0	152	101	0	8	8	0
94	94	94	30	23970	255	0	255	255	255	128.723	108.479	0	5.048	0.993	5.298	128.723	108.479	0	123	104	0	13	10	0
190	190	190	44	48450	255	0	255	255	255	109.884	137.916	0	7.318	0.724	7.350	109.884	137.916	0	103	130	0	15	16	0
269	269	269	52	68595	255	0	255	255	255	302.506	158.045	0	8.810	1.006	8.906	302.506	158.045	0	293	150	0	21	17	0
159	159	159	40	40545	255	0	255	255	255	172.390	159.975	0	6.768	1.429	7.160	172.390	159.975	0	165	152	0	15	17	0
81	81	81	27	20655	255	0	255	255	255	335.198	173.494	0	4.639	0.612	4.498	335.198	173.494	0	331	168	0	9	12	0
124	124	124	35	31620	255	0	255	255	255	176.266	188.056	0	6.031	1.218	6.266	176.266	188.056	0	170	182	0	14	13	0
38	38	38	18	9690	255	0	255	255	255	91.947	189.237	0	3.034	0.341	3.040	91.947	189.237	0	89	186	0	7	7	0
176	176	176	57	44880	255	0	255	255	255	132.102	195.290	0	6.927	3.456	7.587	132.102	195.290	0	122	187	0	22	17	0
277	277	277	63	70635	255	0	255	255	255	344.780	196.679	0	9.692	3.405	9.611	344.780	196.679	0	332	188	0	28	17	0
129	129	129	34	32895	255	0	255	255	255	374.651	213.426	0	5.991	0.583	5.956	374.651	213.426	0	368	208	0	14	12	0
