Volume (pixel^3)	Surface (pixel^2)	Nb of obj. voxels	Nb of surf. voxels	IntDen	Mean	StdDev	Median	Min	Max	X	Y	Z	Mean dist. to surf. (pixel)	SD dist. to surf. (pixel)	Median dist. to surf. (pixel)	XM	YM	ZM	BX	BY	BZ	B-width	B-height	B-depth
405	405	405	329	103275	255	0	255	255	255	86.731	8.649	0	38.932	21.586	37.907	86.731	8.649	0	29	0	0	159	34	0
1058	1058	1058	993	269790	255	0	255	255	255	590.661	5.847	0	165.444	86.522	170.368	590.662	5.847	0	267	2	0	661	10	0
221	221	221	219	56355	255	0	255	255	255	1124.873	12.407	0	28.502	17.566	27.133	1124.875	12.407	0	1070	11	0	125	3	0
75	75	75	75	19125	255	0	255	255	255	1507.507	18.893	0	9.344	4.469	9.924	1507.507	18.893	0	1491	15	0	28	19	0
73	73	73	33	18615	255	0	255	255	255	1475.041	28.329	0	4.258	1.702	4.664	1475.042	28.329	0	1469	24	0	13	9	0
523	523	523	459	133365	255	0	255	255	255	22.396	174.946	0	75.933	36.175	77.963	22.396	174.947	0	19	34	0	9	274	0
28	28	28	19	7140	255	0	255	255	255	1465.643	53.357	0	2.808	1.257	2.667	1465.643	53.357	0	1464	49	0	5	10	0
10	10	10	8	2550	255	0	255	255	255	1504.500	53.000	0	1.385	0.307	1.309	1504.500	53.000	0	1503	52	0	4	3	0
50	50	50	22	12750	255	0	255	255	255	264.600	76.760	0	3.541	0.609	3.507	264.600	76.760	0	260	74	0	9	7	0
46	46	46	20	11730	255	0	255	255	255	1426.500	76.500	0	3.368	0.613	3.536	1426.500	76.500	0	1422	74	0	10	6	0
111	111	111	37	28305	255	0	255	255	255	232.072	82.198	0	5.570	1.367	5.596	232.072	82.198	0	225	77	0	15	12	0
19	19	19	12	4845	255	0	255	255	255	1290.316	80.947	0	2.052	0.313	2.025	1290.316	80.947	0	1288	79	0	5	5	0
311	311	311	71	79305	255	0	255	255	255	281.704	93.444	0	10.059	2.756	9.913	281.705	93.444	0	272	81	0	21	29	0
175	175	175	61	44625	255	0	255	255	255	255.863	92.097	0	7.483	1.945	7.101	255.863	92.097	0	244	84	0	22	17	0
10	10	10	8	2550	255	0	255	255	255	1456.200	87.500	0	1.364	0.301	1.407	1456.200	87.500	0	1455	86	0	3	4	0
568	568	568	115	144840	255	0	255	255	255	1410.820	113.261	0	13.730	4.705	13.764	1410.821	113.261	0	1393	93	0	35	35	0
35	35	35	19	8925	255	0	255	255	255	1387.000	97.600	0	2.987	1.048	2.786	1387.000	97.600	0	1384	94	0	7	9	0
36	36	36	19	9180	255	0	255	255	255	1259.417	97.833	0	3.031	0.755	2.835	1259.417	97.833	0	1255	95	0	10	6	0
24	24	24	13	6120	255	0	255	255	255	1275.667	98.333	0	2.347	0.400	2.357	1275.667	98.333	0	1273	96	0	6	6	0
119	119	119	34	30345	255	0	255	255	255	303.429	101.882	0	5.752	1.104	5.854	303.429	101.882	0	296	97	0	15	11	0
228	228	228	56	58140	255	0	255	255	255	1222.136	104.526	0	8.305	2.219	8.685	1222.137	104.526	0	1210	98	0	23	15	0
64	64	64	30	16320	255	0	255	255	255	1307.625	105.469	0	4.272	1.492	4.303	1307.625	105.469	0	1305	99	0	6	14	0
88	88	88	31	22440	255	0	255	255	255	263.352	108.989	0	4.903	1.239	5.055	263.352	108.989	0	257	105	0	13	10	0
