Volume (pixel^3)	Surface (pixel^2)	Nb of obj. voxels	Nb of surf. voxels	IntDen	Mean	StdDev	Median	Min	Max	X	Y	Z	Mean dist. to surf. (pixel)	SD dist. to surf. (pixel)	Median dist. to surf. (pixel)	XM	YM	ZM	BX	BY	BZ	B-width	B-height	B-depth
16	16	16	11	4080	255	0	255	255	255	334.375	755.312	0	1.812	0.512	1.764	334.375	755.312	0	332	754	0	6	4	0
413	413	413	78	105315	255	0	255	255	255	83.896	768.007	0	11.262	3.225	11.454	83.896	768.007	0	68	756	0	31	23	0
47	47	47	20	11985	255	0	255	255	255	50.447	763.936	0	3.436	0.314	3.412	50.447	763.936	0	47	761	0	8	7	0
30	30	30	16	7650	255	0	255	255	255	419.233	767.967	0	2.664	0.445	2.669	419.233	767.967	0	417	765	0	6	7	0
46	46	46	21	11730	255	0	255	255	255	321.000	770.326	0	3.403	0.521	3.339	321.000	770.326	0	318	767	0	7	8	0
88	88	88	39	22440	255	0	255	255	255	350.307	775.125	0	5.341	2.242	5.393	350.307	775.125	0	343	769	0	14	14	0
20	20	20	12	5100	255	0	255	255	255	278.050	772.900	0	2.090	0.221	2.136	278.050	772.900	0	276	771	0	5	5	0
247	247	247	62	62985	255	0	255	255	255	366.923	784.437	0	8.534	2.468	9.142	366.924	784.437	0	356	774	0	22	20	0
52	52	52	23	13260	255	0	255	255	255	329.077	780.635	0	3.594	0.663	3.635	329.077	780.635	0	325	777	0	10	8	0
117	117	117	33	29835	255	0	255	255	255	156.077	795.009	0	5.658	0.471	5.706	156.077	795.008	0	150	789	0	13	12	0
28	28	28	16	7140	255	0	255	255	255	47.250	797.214	0	2.627	0.667	2.580	47.250	797.214	0	44	795	0	8	5	0
102	102	102	31	26010	255	0	255	255	255	86.392	799.725	0	5.263	0.829	5.354	86.392	799.725	0	80	795	0	14	10	0
277	277	277	73	70635	255	0	255	255	255	219.939	804.856	0	9.264	4.250	9.133	219.939	804.856	0	206	797	0	30	18	0
174	174	174	44	44370	255	0	255	255	255	244.805	803.655	0	7.104	1.404	7.304	244.805	803.656	0	236	797	0	18	14	0
94	94	94	29	23970	255	0	255	255	255	298.947	802.021	0	5.032	0.625	5.055	298.947	802.021	0	293	797	0	12	12	0
167	167	167	42	42585	255	0	255	255	255	374.347	804.719	0	7.007	1.370	7.379	374.347	804.719	0	366	797	0	17	16	0
177	177	177	47	45135	255	0	255	255	255	274.384	805.864	0	7.189	1.942	7.322	274.384	805.865	0	265	800	0	20	13	0
33	33	33	17	8415	255	0	255	255	255	76.182	808.333	0	2.830	0.447	2.838	76.182	808.333	0	73	806	0	7	6	0
91	91	91	28	23205	255	0	255	255	255	137.352	811.670	0	4.941	0.281	4.938	137.352	811.670	0	132	807	0	11	11	0
61	61	61	24	15555	255	0	255	255	255	35.311	812.066	0	3.936	0.384	3.963	35.311	812.066	0	32	808	0	8	9	0
50	50	50	20	12750	255	0	255	255	255	52.120	811.280	0	3.566	0.325	3.514	52.120	811.280	0	48	808	0	9	8	0
209	209	209	52	53295	255	0	255	255	255	115.005	816.900	0	7.733	2.607	8.559	115.005	816.899	0	106	808	0	19	20	0
109	109	109	32	27795	255	0	255	255	255	192.734	813.367	0	5.436	0.352	5.438	192.734	813.367	0	187	808	0	12	12	0
204	204	204	55	52020	255	0	255	255	255	282.789	824.412	0	7.618	2.874	8.324	282.789	824.412	0	273	817	0	22	15	0
10	10	10	8	2550	255	0	255	255	255	174.500	820.000	0	1.385	0.307	1.309	174.500	820.000	0	173	819	0	4	3	0
15	15	15	11	3825	255	0	255	255	255	349.400	820.400	0	1.719	0.250	1.649	349.400	820.400	0	348	819	0	4	4	0
51	51	51	21	13005	255	0	255	255	255	87.608	828.275	0	3.604	0.481	3.624	87.608	828.275	0	84	825	0	9	7	0
104	104	104	31	26520	255	0	255	255	255	322.221	830.721	0	5.352	0.743	5.478	322.221	830.721	0	316	825	0	13	12	0
51	51	51	21	13005	255	0	255	255	255	163.098	829.843	0	3.615	0.491	3.533	163.098	829.843	0	159	827	0	9	7	0
65	65	65	25	16575	255	0	255	255	255	183.092	837.477	0	4.164	0.694	4.058	183.092	837.477	0	178	834	0	10	9	0
28	28	28	16	7140	255	0	255	255	255	256.500	840.000	0	2.526	0.355	2.500	256.500	840.000	0	254	838	0	6	5	0
62	62	62	23	15810	255	0	255	255	255	266.484	844.452	0	4.002	0.392	3.846	266.484	844.452	0	262	840	0	9	9	0
98	98	98	36	24990	255	0	255	255	255	66.061	851.276	0	5.412	1.498	5.370	66.061	851.275	0	61	842	0	11	16	0
108	108	108	37	27540	255	0	255	255	255	312.056	852.602	0	5.707	1.459	5.303	312.056	852.602	0	305	847	0	16	13	0
171	171	171	56	43605	255	0	255	255	255	130.538	861.094	0	7.575	3.377	8.061	130.538	861.094	0	118	856	0	24	12	0
224	224	224	59	57120	255	0	255	255	255	282.942	869.491	0	8.661	3.611	9.133	282.942	869.491	0	274	858	0	20	24	0
165	165	165	45	42075	255	0	255	255	255	261.442	871.776	0	6.942	1.981	7.203	261.442	871.776	0	256	862	0	12	20	0
37	37	37	18	9435	255	0	255	255	255	193.216	868.703	0	3.012	0.458	2.936	193.216	868.703	0	191	865	0	6	8	0
38	38	38	21	9690	255	0	255	255	255	160.947	870.026	0	3.277	1.154	3.204	160.947	870.026	0	156	867	0	10	7	0
16	16	16	12	4080	255	0	255	255	255	240.500	868.500	0	1.761	0.266	1.581	240.500	868.500	0	239	867	0	4	4	0
78	78	78	28	19890	255	0	255	255	255	167.385	877.564	0	4.545	0.495	4.593	167.385	877.564	0	162	873	0	11	10	0
16	16	16	11	4080	255	0	255	255	255	138.375	883.188	0	1.873	0.400	1.817	138.375	883.188	0	137	881	0	4	5	0
37	37	37	18	9435	255	0	255	255	255	81.054	894.324	0	2.991	0.368	3.027	81.054	894.324	0	78	892	0	7	6	0
255	255	255	53	65025	255	0	255	255	255	243.714	923.396	0	8.695	2.000	8.860	243.714	923.396	0	234	913	0	19	21	0
170	170	170	45	43350	255	0	255	255	255	135.041	924.935	0	7.013	1.892	7.180	135.041	924.935	0	128	915	0	14	20	0
232	232	232	48	59160	255	0	255	255	255	214.772	931.940	0	8.186	0.995	8.366	214.772	931.940	0	205	923	0	19	18	0
371	371	371	74	94605	255	0	255	255	255	324.892	937.639	0	10.165	2.999	10.968	324.893	937.639	0	311	928	0	27	21	0
22	22	22	14	5610	255	0	255	255	255	104.500	937.727	0	2.181	0.467	2.288	104.500	937.727	0	103	935	0	4	6	0
42	42	42	18	10710	255	0	255	255	255	60.381	942.905	0	3.233	0.283	3.227	60.381	942.905	0	57	940	0	8	7	0
120	120	120	40	30600	255	0	255	255	255	298.050	953.933	0	6.118	1.792	6.027	298.050	953.933	0	290	948	0	17	12	0
13	13	13	10	3315	255	0	255	255	255	369.000	951.615	0	1.699	0.628	1.804	369.000	951.615	0	367	950	0	5	4	0
161	161	161	41	41055	255	0	255	255	255	253.043	964.043	0	6.862	1.075	7.108	253.043	964.044	0	246	956	0	15	16	0
102	102	102	31	26010	255	0	255	255	255	176.529	965.147	0	5.264	0.576	5.225	176.529	965.147	0	171	959	0	11	13	0
125	125	125	33	31875	255	0	255	255	255	335.912	965.632	0	5.910	0.717	5.736	335.912	965.632	0	330	959	0	12	15	0
169	169	169	43	43095	255	0	255	255	255	355.562	982.195	0	7.036	1.420	7.271	355.562	982.195	0	348	974	0	16	19	0
13	13	13	10	3315	255	0	255	255	255	285.077	979.077	0	1.608	0.465	1.471	285.077	979.077	0	284	977	0	4	5	0
52	52	52	22	13260	255	0	255	255	255	100.423	984.942	0	3.650	0.576	3.697	100.423	984.942	0	97	981	0	7	9	0
88	88	88	29	22440	255	0	255	255	255	290.955	989.727	0	4.834	0.424	4.842	290.955	989.728	0	286	985	0	11	10	0
19	19	19	12	4845	255	0	255	255	255	33.000	991.632	0	2.040	0.300	2.034	33.000	991.632	0	31	990	0	5	5	0
37	37	37	19	9435	255	0	255	255	255	344.216	993.378	0	2.990	0.453	2.890	344.216	993.378	0	341	991	0	7	6	0
113	113	113	32	28815	255	0	255	255	255	274.425	1002.230	0	5.556	0.377	5.521	274.425	1002.230	0	269	997	0	12	12	0
206	206	206	48	52530	255	0	255	255	255	147.927	1015.257	0	7.729	1.445	7.623	147.927	1015.258	0	138	1008	0	19	15	0
258	258	258	63	65790	255	0	255	255	255	251.128	1023.953	0	9.006	3.645	9.044	251.128	1023.954	0	244	1010	0	14	29	0
46	46	46	20	11730	255	0	255	255	255	108.109	1029.087	0	3.378	0.371	3.287	108.109	1029.087	0	105	1026	0	8	8	0
67	67	67	24	17085	255	0	255	255	255	286.433	1030.030	0	4.195	0.398	4.090	286.433	1030.030	0	282	1026	0	10	9	0
203	203	203	53	51765	255	0	255	255	255	275.212	1061.158	0	7.810	2.293	8.082	275.212	1061.158	0	265	1053	0	20	17	0
32	32	32	16	8160	255	0	255	255	255	230.812	1075.719	0	2.751	0.290	2.804	230.812	1075.719	0	228	1073	0	7	6	0
30	30	30	15	7650	255	0	255	255	255	266.633	1075.633	0	2.659	0.215	2.708	266.633	1075.633	0	264	1073	0	6	6	0
