Volume (pixel^3)	Surface (pixel^2)	Nb of obj. voxels	Nb of surf. voxels	IntDen	Mean	StdDev	Median	Min	Max	X	Y	Z	Mean dist. to surf. (pixel)	SD dist. to surf. (pixel)	Median dist. to surf. (pixel)	XM	YM	ZM	BX	BY	BZ	B-width	B-height	B-depth
2616	2616	2616	1998	667080	255	0	255	255	255	17.014	505.297	0	303.556	164.525	311.794	17.014	505.297	0	0	0	0	143	1108	0
687	687	687	557	175185	255	0	255	255	255	309.929	8.779	0	87.899	51.637	93.167	309.930	8.779	0	144	3	0	355	13	0
410	410	410	365	104550	255	0	255	255	255	603.020	18.790	0	59.206	31.333	59.022	603.021	18.790	0	500	15	0	234	9	0
190	190	190	180	48450	255	0	255	255	255	782.853	24.926	0	26.063	17.316	24.021	782.854	24.926	0	736	23	0	115	5	0
157	157	157	147	40035	255	0	255	255	255	889.682	28.682	0	18.946	11.529	18.331	889.683	28.682	0	854	27	0	82	5	0
115	115	115	113	29325	255	0	255	255	255	1001.296	32.452	0	14.154	8.175	14.303	1001.297	32.452	0	974	31	0	57	3	0
40	40	40	40	10200	255	0	255	255	255	1103.400	36.350	0	5.987	3.899	5.525	1103.400	36.350	0	1093	36	0	26	2	0
193	193	193	181	49215	255	0	255	255	255	1256.948	40.984	0	26.279	17.545	24.073	1256.949	40.984	0	1210	39	0	116	5	0
213	213	213	203	54315	255	0	255	255	255	1377.399	44.521	0	25.409	14.704	25.404	1377.401	44.521	0	1328	43	0	103	5	0
129	129	129	35	32895	255	0	255	255	255	1223.791	51.039	0	6.022	0.808	6.114	1223.792	51.039	0	1218	45	0	13	13	0
198	198	198	190	50490	255	0	255	255	255	1437.929	98.273	0	28.396	18.672	27.008	1437.929	98.273	0	1436	47	0	4	124	0
36	36	36	18	9180	255	0	255	255	255	1320.000	50.639	0	2.930	0.324	3.022	1320.000	50.639	0	1317	48	0	7	6	0
161	161	161	40	41055	255	0	255	255	255	1213.006	65.248	0	6.703	0.469	6.679	1213.007	65.248	0	1207	59	0	14	14	0
173	173	173	45	44115	255	0	255	255	255	1187.312	70.873	0	7.334	1.874	7.247	1187.313	70.873	0	1179	63	0	16	18	0
52	52	52	26	13260	255	0	255	255	255	1361.981	69.923	0	3.895	1.581	4.053	1361.981	69.923	0	1356	67	0	13	7	0
281	281	281	74	71655	255	0	255	255	255	1150.644	89.712	0	8.476	2.933	9.359	1150.645	89.712	0	1141	78	0	22	22	0
202	202	202	44	51510	255	0	255	255	255	1220.045	88.426	0	7.573	0.514	7.586	1220.046	88.426	0	1212	81	0	17	16	0
224	224	224	62	57120	255	0	255	255	255	1181.196	90.357	0	8.002	2.791	9.086	1181.197	90.357	0	1172	82	0	20	17	0
92	92	92	29	23460	255	0	255	255	255	1125.717	95.761	0	4.973	0.481	4.992	1125.718	95.761	0	1121	90	0	11	12	0
123	123	123	35	31365	255	0	255	255	255	1204.675	97.146	0	5.804	0.818	5.992	1204.676	97.146	0	1200	91	0	11	14	0
210	210	210	44	53550	255	0	255	255	255	1313.819	103.781	0	7.763	0.873	7.647	1313.821	103.781	0	1305	97	0	19	15	0
144	144	144	36	36720	255	0	255	255	255	1122.597	112.965	0	6.405	0.843	6.439	1122.598	112.965	0	1116	106	0	14	15	0
66	66	66	23	16830	255	0	255	255	255	1217.818	111.076	0	4.163	0.297	4.172	1217.818	111.076	0	1213	107	0	10	9	0
130	130	130	36	33150	255	0	255	255	255	1243.708	112.169	0	5.964	0.606	6.037	1243.708	112.169	0	1237	107	0	14	11	0
119	119	119	33	30345	255	0	255	255	255	1329.471	119.697	0	5.768	0.890	5.722	1329.471	119.697	0	1324	113	0	12	14	0
244	244	244	58	62220	255	0	255	255	255	1165.697	127.725	0	8.743	2.797	8.689	1165.698	127.725	0	1160	116	0	13	26	0
107	107	107	32	27285	255	0	255	255	255	1099.813	123.813	0	5.385	0.372	5.304	1099.814	123.813	0	1094	119	0	12	11	0
125	125	125	35	31875	255	0	255	255	255	1133.816	126.296	0	5.908	0.863	5.986	1133.817	126.296	0	1128	120	0	12	14	0
164	164	164	42	41820	255	0	255	255	255	1219.543	135.311	0	6.773	1.075	6.834	1219.544	135.311	0	1214	127	0	12	17	0
183	183	183	45	46665	255	0	255	255	255	1391.322	136.197	0	7.291	1.384	7.562	1391.324	136.197	0	1383	129	0	18	15	0
139	139	139	37	35445	255	0	255	255	255	1143.914	141.432	0	6.374	1.322	6.432	1143.915	141.432	0	1137	135	0	15	15	0
97	97	97	30	24735	255	0	255	255	255	1118.516	147.021	0	5.126	0.834	5.267	1118.516	147.021	0	1114	141	0	10	13	0
50	50	50	21	12750	255	0	255	255	255	1170.280	150.360	0	3.541	0.263	3.596	1170.280	150.360	0	1167	147	0	8	8	0
172	172	172	41	43860	255	0	255	255	255	1294.866	154.977	0	7.044	1.344	7.207	1294.867	154.977	0	1287	148	0	17	15	0
315	315	315	59	80325	255	0	255	255	255	1234.860	163.397	0	9.757	1.952	9.503	1234.861	163.397	0	1224	152	0	23	22	0
175	175	175	42	44625	255	0	255	255	255	1253.840	161.960	0	7.001	0.803	7.103	1253.841	161.960	0	1247	154	0	15	16	0
359	359	359	81	91545	255	0	255	255	255	1162.265	172.072	0	10.270	4.209	10.489	1162.266	172.072	0	1154	157	0	18	32	0
283	283	283	67	72165	255	0	255	255	255	1391.820	172.297	0	9.465	3.032	9.655	1391.821	172.297	0	1380	166	0	27	15	0
174	174	174	41	44370	255	0	255	255	255	1127.759	175.029	0	7.275	1.571	7.505	1127.760	175.029	0	1120	167	0	16	17	0
157	157	157	37	40035	255	0	255	255	255	1092.267	176.618	0	6.667	0.646	6.658	1092.268	176.618	0	1086	169	0	14	16	0
217	217	217	198	55335	255	0	255	255	255	1434.157	221.512	0	28.583	19.308	26.019	1434.157	221.512	0	1432	172	0	5	126	0
40	40	40	21	10200	255	0	255	255	255	1212.300	177.875	0	3.247	1.126	3.385	1212.300	177.875	0	1210	173	0	6	10	0
202	202	202	43	51510	255	0	255	255	255	1226.356	182.035	0	7.637	0.920	7.419	1226.357	182.035	0	1219	173	0	15	19	0
164	164	164	41	41820	255	0	255	255	255	1305.213	181.104	0	6.936	1.397	7.269	1305.214	181.104	0	1297	175	0	17	14	0
208	208	208	50	53040	255	0	255	255	255	1189.341	187.933	0	7.863	2.269	8.340	1189.342	187.933	0	1182	178	0	15	22	0
30	30	30	17	7650	255	0	255	255	255	1044.333	182.267	0	2.771	0.761	2.766	1044.333	182.267	0	1041	180	0	8	6	0
97	97	97	32	24735	255	0	255	255	255	1329.619	186.010	0	5.107	0.843	5.204	1329.619	186.010	0	1325	180	0	10	13	0
143	143	143	39	36465	255	0	255	255	255	1230.133	202.434	0	6.304	1.012	6.663	1230.134	202.434	0	1224	195	0	13	16	0
13	13	13	9	3315	255	0	255	255	255	1418.615	197.846	0	1.702	0.439	1.623	1418.615	197.846	0	1417	196	0	4	5	0
60	60	60	23	15300	255	0	255	255	255	1317.200	203.267	0	3.951	0.494	3.913	1317.200	203.267	0	1313	200	0	10	8	0
133	133	133	39	33915	255	0	255	255	255	1262.023	211.436	0	6.145	1.274	6.517	1262.023	211.436	0	1256	204	0	12	16	0
93	93	93	29	23715	255	0	255	255	255	1328.677	209.108	0	5.005	0.448	5.068	1328.678	209.108	0	1324	204	0	10	12	0
159	159	159	49	40545	255	0	255	255	255	1135.069	215.358	0	6.970	2.609	6.960	1135.070	215.358	0	1129	205	0	14	20	0
140	140	140	37	35700	255	0	255	255	255	1240.464	216.600	0	6.366	1.381	6.603	1240.465	216.600	0	1234	209	0	13	16	0
226	226	226	50	57630	255	0	255	255	255	1347.907	216.465	0	8.205	1.492	7.756	1347.908	216.465	0	1337	209	0	21	15	0
138	138	138	36	35190	255	0	255	255	255	1324.094	223.688	0	6.278	0.827	6.344	1324.095	223.688	0	1318	217	0	13	15	0
285	285	285	61	72675	255	0	255	255	255	1207.786	231.702	0	9.278	2.440	9.377	1207.787	231.702	0	1201	218	0	16	27	0
226	226	226	49	57630	255	0	255	255	255	1374.297	229.704	0	8.091	1.336	8.543	1374.297	229.704	0	1367	221	0	16	19	0
210	210	210	45	53550	255	0	255	255	255	1170.519	232.367	0	7.797	1.078	7.807	1170.520	232.367	0	1164	224	0	15	19	0
288	288	288	57	73440	255	0	255	255	255	1088.486	238.715	0	9.179	1.646	9.336	1088.487	238.715	0	1077	231	0	24	16	0
92	92	92	30	23460	255	0	255	255	255	1260.500	247.467	0	5.068	1.057	5.490	1260.501	247.467	0	1256	241	0	11	13	0
88	88	88	28	22440	255	0	255	255	255	1129.466	246.659	0	4.856	0.448	4.821	1129.466	246.659	0	1124	242	0	12	10	0
94	94	94	29	23970	255	0	255	255	255	1245.904	257.553	0	5.031	0.345	5.012	1245.905	257.553	0	1241	252	0	11	12	0
98	98	98	31	24990	255	0	255	255	255	1100.561	261.480	0	5.164	0.638	5.196	1100.562	261.480	0	1095	256	0	12	12	0
244	244	244	52	62220	255	0	255	255	255	1314.836	266.213	0	8.405	1.231	8.727	1314.837	266.213	0	1306	257	0	19	19	0
154	154	154	41	39270	255	0	255	255	255	1131.980	267.519	0	6.754	1.633	7.000	1131.982	267.519	0	1124	261	0	17	14	0
71	71	71	24	18105	255	0	255	255	255	1162.986	266.563	0	4.336	0.347	4.295	1162.986	266.563	0	1159	262	0	9	10	0
151	151	151	37	38505	255	0	255	255	255	1197.841	272.139	0	6.609	1.088	6.935	1197.842	272.139	0	1191	265	0	15	15	0
116	116	116	53	29580	255	0	255	255	255	1283.379	279.793	0	6.393	2.794	6.016	1283.380	279.793	0	1278	274	0	15	18	0
261	261	261	57	66555	255	0	255	255	255	1229.950	284.061	0	8.595	1.889	9.021	1229.951	284.061	0	1219	275	0	21	19	0
102	102	102	31	26010	255	0	255	255	255	1078.363	282.422	0	5.239	0.495	5.306	1078.363	282.422	0	1073	278	0	12	10	0
145	145	145	40	36975	255	0	255	255	255	1174.966	290.490	0	6.382	1.484	6.483	1174.966	290.490	0	1170	282	0	11	18	0
172	172	172	41	43860	255	0	255	255	255	1400.674	294.512	0	7.003	1.077	7.343	1400.675	294.512	0	1393	287	0	16	16	0
286	286	286	54	72930	255	0	255	255	255	1336.101	297.734	0	9.133	0.791	9.267	1336.103	297.734	0	1326	288	0	21	20	0
176	176	176	41	44880	255	0	255	255	255	1193.324	298.250	0	7.063	0.853	7.281	1193.325	298.250	0	1186	290	0	16	16	0
177	177	177	46	45135	255	0	255	255	255	1080.514	296.746	0	7.142	1.878	7.372	1080.515	296.746	0	1071	292	0	20	11	0
78	78	78	27	19890	255	0	255	255	255	1134.526	302.692	0	4.528	0.339	4.536	1134.526	302.692	0	1130	298	0	10	10	0
67	67	67	24	17085	255	0	255	255	255	1259.313	304.672	0	4.179	0.336	4.267	1259.314	304.672	0	1255	300	0	9	10	0
143	143	143	40	36465	255	0	255	255	255	1382.182	308.161	0	6.298	1.147	6.381	1382.183	308.161	0	1375	303	0	16	12	0
208	208	208	182	53040	255	0	255	255	255	1430.255	348.361	0	25.082	16.546	22.702	1430.252	348.361	0	1428	304	0	5	111	0
135	135	135	36	34425	255	0	255	255	255	1112.756	312.585	0	6.100	0.446	6.047	1112.756	312.585	0	1107	306	0	13	14	0
