Volume (pixel^3)	Surface (pixel^2)	Nb of obj. voxels	Nb of surf. voxels	IntDen	Mean	StdDev	Median	Min	Max	X	Y	Z	Mean dist. to surf. (pixel)	SD dist. to surf. (pixel)	Median dist. to surf. (pixel)	XM	YM	ZM	BX	BY	BZ	B-width	B-height	B-depth
20885	20885	20885	10132	5325675	255	0	255	255	255	727.636	553.152	0	720.184	107.319	733.693	727.651	553.166	0	0	0	0	1468	1114	0
44	44	44	21	11220	255	0	255	255	255	558.500	220.636	0	3.286	0.512	3.401	558.500	220.636	0	556	217	0	6	8	0
249	249	249	56	63495	255	0	255	255	255	627.526	229.695	0	8.487	1.741	8.491	627.527	229.695	0	618	220	0	19	20	0
67	67	67	23	17085	255	0	255	255	255	406.254	233.687	0	4.202	0.377	4.265	406.254	233.687	0	402	229	0	9	10	0
197	197	197	45	50235	255	0	255	255	255	691.624	243.178	0	7.479	0.722	7.622	691.625	243.178	0	685	235	0	14	17	0
52	52	52	21	13260	255	0	255	255	255	665.712	242.173	0	3.633	0.292	3.637	665.712	242.173	0	662	239	0	8	8	0
170	170	170	45	43350	255	0	255	255	255	659.576	257.059	0	7.042	2.011	6.965	659.577	257.059	0	652	248	0	15	19	0
105	105	105	31	26775	255	0	255	255	255	561.095	255.314	0	5.417	0.799	5.423	561.095	255.314	0	556	249	0	11	13	0
251	251	251	53	64005	255	0	255	255	255	726.195	262.151	0	8.666	1.803	8.997	726.196	262.151	0	717	253	0	19	21	0
206	206	206	46	52530	255	0	255	255	255	616.383	261.568	0	7.658	1.035	7.810	616.384	261.568	0	607	255	0	19	14	0
327	327	327	61	83385	255	0	255	255	255	780.875	277.076	0	9.812	1.744	10.077	780.876	277.077	0	768	267	0	24	22	0
119	119	119	34	30345	255	0	255	255	255	760.176	277.756	0	5.742	1.002	5.847	760.177	277.756	0	755	271	0	12	14	0
113	113	113	33	28815	255	0	255	255	255	563.080	277.788	0	5.530	0.367	5.555	563.080	277.788	0	558	272	0	11	12	0
13	13	13	10	3315	255	0	255	255	255	526.308	276.154	0	1.606	0.373	1.628	526.308	276.154	0	525	274	0	4	5	0
114	114	114	32	29070	255	0	255	255	255	589.807	281.430	0	5.584	0.383	5.566	589.807	281.430	0	584	276	0	12	12	0
25	25	25	15	6375	255	0	255	255	255	728.600	278.240	0	2.437	0.588	2.412	728.600	278.240	0	726	276	0	7	5	0
24	24	24	14	6120	255	0	255	255	255	690.917	279.667	0	2.353	0.539	2.335	690.917	279.667	0	688	278	0	7	5	0
27	27	27	20	6885	255	0	255	255	255	770.037	291.037	0	2.759	1.227	3.088	770.037	291.037	0	766	288	0	9	7	0
68	68	68	24	17340	255	0	255	255	255	653.882	293.471	0	4.225	0.487	4.272	653.882	293.471	0	650	289	0	9	10	0
131	131	131	34	33405	255	0	255	255	255	674.305	296.160	0	6.030	0.560	6.109	674.306	296.160	0	669	290	0	12	14	0
73	73	73	25	18615	255	0	255	255	255	688.260	295.082	0	4.379	0.316	4.358	688.260	295.082	0	684	291	0	10	9	0
26	26	26	17	6630	255	0	255	255	255	858.192	295.192	0	2.434	0.542	2.336	858.192	295.192	0	856	293	0	6	6	0
222	222	222	54	56610	255	0	255	255	255	852.261	310.671	0	8.162	2.486	8.279	852.262	310.671	0	846	300	0	14	23	0
431	431	431	80	109905	255	0	255	255	255	725.643	317.798	0	11.886	4.217	12.136	725.644	317.798	0	715	302	0	23	33	0
419	419	419	89	106845	255	0	255	255	255	818.411	318.162	0	11.289	4.854	11.648	818.411	318.162	0	805	303	0	28	32	0
694	694	694	139	176970	255	0	255	255	255	873.635	332.595	0	18.223	8.849	18.416	873.637	332.595	0	862	304	0	28	62	0
417	417	417	87	106335	255	0	255	255	255	784.041	325.213	0	11.368	4.499	12.598	784.042	325.213	0	775	312	0	21	32	0
74	74	74	26	18870	255	0	255	255	255	758.027	321.703	0	4.418	0.365	4.389	758.027	321.703	0	754	317	0	9	10	0
138	138	138	35	35190	255	0	255	255	255	847.145	339.181	0	6.260	0.880	6.131	847.146	339.181	0	842	331	0	12	16	0
61	61	61	23	15555	255	0	255	255	255	889.951	334.377	0	3.954	0.330	3.969	889.951	334.377	0	886	331	0	9	8	0
456	456	456	100	116280	255	0	255	255	255	917.121	351.989	0	13.219	5.784	12.772	917.121	351.989	0	907	331	0	23	43	0
66	66	66	24	16830	255	0	255	255	255	810.061	340.803	0	4.146	0.396	4.128	810.061	340.803	0	806	337	0	9	9	0
74	74	74	26	18870	255	0	255	255	255	884.459	344.757	0	4.419	0.474	4.477	884.459	344.757	0	880	341	0	11	9	0
140	140	140	36	35700	255	0	255	255	255	749.943	350.493	0	6.377	1.116	6.417	749.943	350.493	0	743	344	0	15	14	0
27	27	27	15	6885	255	0	255	255	255	809.148	351.259	0	2.467	0.387	2.490	809.148	351.259	0	807	349	0	6	6	0
297	297	297	58	75735	255	0	255	255	255	888.768	360.586	0	9.465	1.967	9.556	888.769	360.586	0	879	349	0	19	24	0
