"","sample.name","start.day","end.day","new.cells","did.it.migrate","asymp","midp","sca","sample","start.sum","model.start.sum","model.end.sum","pop.growth","perc.clust","cells","asymptote","midpoint","scale","Subsample"
"1","26B.1.4",24,25,109.523599989748,"No",909.0273,13.3691,3.2372,"26B.1.4",876.188799917987,876.188799917987,884.681987451146,8.49318753315902,0.125,110.585248431393,909.0273,13.3691,3.2372,2
"2","26B.1.4",24,25,131.428319987698,"No",909.0273,13.3691,3.2372,"26B.1.4",876.188799917987,876.188799917987,884.681987451146,8.49318753315902,0.15,132.702298117672,909.0273,13.3691,3.2372,2
"3","26B.1.4",24,25,109.523599989748,"No",909.0273,13.3691,3.2372,"26B.1.4",876.188799917987,876.188799917987,884.681987451146,8.49318753315902,0.125,110.585248431393,909.0273,13.3691,3.2372,2
"4","26B.1.4",24,25,131.428319987698,"No",909.0273,13.3691,3.2372,"26B.1.4",876.188799917987,876.188799917987,884.681987451146,8.49318753315902,0.15,132.702298117672,909.0273,13.3691,3.2372,2
"5","26B.1.4",24,25,109.523599989748,"No",909.0273,13.3691,3.2372,"26B.1.4",876.188799917987,876.188799917987,884.681987451146,8.49318753315902,0.125,110.585248431393,909.0273,13.3691,3.2372,2
"6","26B.1.4",24,25,87.6188799917987,"No",909.0273,13.3691,3.2372,"26B.1.4",876.188799917987,876.188799917987,884.681987451146,8.49318753315902,0.1,88.4681987451146,909.0273,13.3691,3.2372,2
"7","26B.1.4",24,25,65.714159993849,"No",909.0273,13.3691,3.2372,"26B.1.4",876.188799917987,876.188799917987,884.681987451146,8.49318753315902,0.075,66.3511490588359,909.0273,13.3691,3.2372,2
"8","26B.1.4",24,25,21.9047199979497,"No",909.0273,13.3691,3.2372,"26B.1.4",876.188799917987,876.188799917987,884.681987451146,8.49318753315902,0.025,22.1170496862787,909.0273,13.3691,3.2372,2
"9","26B.1.4",24,25,109.523599989748,"No",909.0273,13.3691,3.2372,"26B.1.4",876.188799917987,876.188799917987,884.681987451146,8.49318753315902,0.125,110.585248431393,909.0273,13.3691,3.2372,2
"10","26B.10.4",24,25,72.0951691958062,"No",1028.765,14.221,7.089,"26B.10.4",821.884928832191,821.884928832191,844.220752462104,22.3358236299131,0.087719298245614,74.05445197036,1028.765,14.221,7.089,2
"11","26B.10.4",24,25,28.8380676783225,"No",1028.765,14.221,7.089,"26B.10.4",821.884928832191,821.884928832191,844.220752462104,22.3358236299131,0.0350877192982456,29.621780788144,1028.765,14.221,7.089,2
"12","26B.10.4",24,25,57.676135356645,"No",1028.765,14.221,7.089,"26B.10.4",821.884928832191,821.884928832191,844.220752462104,22.3358236299131,0.0701754385964912,59.243561576288,1028.765,14.221,7.089,2
"13","26B.10.4",24,25,57.676135356645,"No",1028.765,14.221,7.089,"26B.10.4",821.884928832191,821.884928832191,844.220752462104,22.3358236299131,0.0701754385964912,59.243561576288,1028.765,14.221,7.089,2
"14","26B.10.4",24,25,57.676135356645,"No",1028.765,14.221,7.089,"26B.10.4",821.884928832191,821.884928832191,844.220752462104,22.3358236299131,0.0701754385964912,59.243561576288,1028.765,14.221,7.089,2
"15","26B.10.4",24,25,72.0951691958062,"No",1028.765,14.221,7.089,"26B.10.4",821.884928832191,821.884928832191,844.220752462104,22.3358236299131,0.087719298245614,74.05445197036,1028.765,14.221,7.089,2
