"","sample.name","start.day","end.day","new.cells","did.it.migrate","asymp","midp","sca","sample","start.sum","model.start.sum","model.end.sum","pop.growth","perc.clust","tsqrt","tsqrtnorm","cells","asymptote","midpoint","scale","Subsample"
"1","26B.1.4",18,19,1.82845889048483,"No",909.0273,13.3691,3.2372,"26B.1.4",733.569867385183,733.569867385183,773.232552867998,39.6626854828157,0.00249254906966447,1.35220519540668,0.00813131775841968,2.15096878929786,909.0273,13.3691,3.2372,2
"2","26B.1.4",18,19,1.44832680430263,"Yes",909.0273,13.3691,3.2372,"26B.1.4",733.569867385183,733.569867385183,773.232552867998,39.6626854828157,0.00197435427584452,1.20346450064081,0.00723688409046909,1.7353610618585,909.0273,13.3691,3.2372,2
"3","26B.1.4",18,19,21.2515945763583,"Yes",909.0273,13.3691,3.2372,"26B.1.4",733.569867385183,733.569867385183,773.232552867998,39.6626854828157,0.0289701029461717,4.60994518149167,0.0277213319745681,22.3510970476303,909.0273,13.3691,3.2372,2
"4","26B.1.4",18,19,1.31358953386832,"No",909.0273,13.3691,3.2372,"26B.1.4",733.569867385183,733.569867385183,773.232552867998,39.6626854828157,0.00179068087754289,1.14611933666103,0.00689204607933571,1.58694658984608,909.0273,13.3691,3.2372,2
"5","26B.1.4",18,19,11.3473620255927,"No",909.0273,13.3691,3.2372,"26B.1.4",733.569867385183,733.569867385183,773.232552867998,39.6626854828157,0.0154686861198927,3.36858457302065,0.0202565643530924,12.1507917664918,909.0273,13.3691,3.2372,2
"6","26B.1.4",18,19,2.58794771989103,"No",909.0273,13.3691,3.2372,"26B.1.4",733.569867385183,733.569867385183,773.232552867998,39.6626854828157,0.00352788171236613,1.60870995517869,0.00967377722783919,2.97163570350964,909.0273,13.3691,3.2372,2
"7","26B.1.4",18,19,2.29565530586,"No",909.0273,13.3691,3.2372,"26B.1.4",733.569867385183,733.569867385183,773.232552867998,39.6626854828157,0.00312942966706483,1.51514200847973,0.00911111801813007,2.65702671420991,909.0273,13.3691,3.2372,2
"8","26B.1.4",18,19,48.2979743586695,"No",909.0273,13.3691,3.2372,"26B.1.4",733.569867385183,733.569867385183,773.232552867998,39.6626854828157,0.0658396377850526,6.94967440666607,0.0417910026600385,49.9555177531861,909.0273,13.3691,3.2372,2
"9","26B.1.4",18,19,12.1630232931356,"No",909.0273,13.3691,3.2372,"26B.1.4",733.569867385183,733.569867385183,773.232552867998,39.6626854828157,0.0165805928431751,3.48755262227477,0.0209719639203109,12.9948277020639,909.0273,13.3691,3.2372,2
"10","26B.1.4",18,19,2.15068100258107,"No",909.0273,13.3691,3.2372,"26B.1.4",733.569867385183,733.569867385183,773.232552867998,39.6626854828157,0.00293180117968476,1.46652003142851,0.00881873580662169,2.50045574723515,909.0273,13.3691,3.2372,2
"11","26B.1.4",18,19,1.44064335664269,"Yes",909.0273,13.3691,3.2372,"26B.1.4",733.569867385183,733.569867385183,773.232552867998,39.6626854828157,0.00196388022558488,1.20026803533323,0.00721766254391092,1.72691523604292,909.0273,13.3691,3.2372,2
"12","26B.1.4",18,19,54.9928584832199,"Yes",909.0273,13.3691,3.2372,"26B.1.4",733.569867385183,733.569867385183,773.232552867998,39.6626854828157,0.0749660815257346,7.41571699050199,0.0445934917726358,56.7615561219785,909.0273,13.3691,3.2372,2
"13","26B.1.4",18,19,12.9525580373531,"No",909.0273,13.3691,3.2372,"26B.1.4",733.569867385183,733.569867385183,773.232552867998,39.6626854828157,0.0176568839768769,3.59896624565348,0.0216419358871297,13.8109353336836,909.0273,13.3691,3.2372,2
"14","26B.1.4",18,19,7.0683562054783,"No",909.0273,13.3691,3.2372,"26B.1.4",733.569867385183,733.569867385183,773.232552867998,39.6626854828157,0.00963555963752101,2.65863803581426,0.015987389153112,7.70245899314956,909.0273,13.3691,3.2372,2
"15","26B.1.4",18,19,6.88716654747364,"No",909.0273,13.3691,3.2372,"26B.1.4",733.569867385183,733.569867385183,773.232552867998,39.6626854828157,0.00938856249919727,2.62434116445893,0.0157811491829823,7.51308930407566,909.0273,13.3691,3.2372,2
"16","26B.1.4",18,19,1.0667624338204,"Yes",909.0273,13.3691,3.2372,"26B.1.4",733.569867385183,733.569867385183,773.232552867998,39.6626854828157,0.00145420699683711,1.03284192102199,0.00621086642957364,1.31310207559236,909.0273,13.3691,3.2372,2
"17","26B.1.4",18,19,4.30169179656648,"Yes",909.0273,13.3691,3.2372,"26B.1.4",733.569867385183,733.569867385183,773.232552867998,39.6626854828157,0.00586405192991351,2.0740520235921,0.0124720538780717,4.79636694685717,909.0273,13.3691,3.2372,2
"18","26B.1.4",18,19,2.49247820493599,"No",909.0273,13.3691,3.2372,"26B.1.4",733.569867385183,733.569867385183,773.232552867998,39.6626854828157,0.00339773798754911,1.57875843780358,0.00949366750340448,2.86902255320195,909.0273,13.3691,3.2372,2
"19","26B.1.4",18,19,2.01537242743159,"No",909.0273,13.3691,3.2372,"26B.1.4",733.569867385183,733.569867385183,773.232552867998,39.6626854828157,0.00274734898069819,1.41963813256463,0.00853681733886604,2.35396552856728,909.0273,13.3691,3.2372,2
"20","26B.1.4",18,19,50.3402722451564,"No",909.0273,13.3691,3.2372,"26B.1.4",733.569867385183,733.569867385183,773.232552867998,39.6626854828157,0.0686236914618574,7.09508789552014,0.0426654285890686,52.0324977202742,909.0273,13.3691,3.2372,2
