"","sample.name","start.day","end.day","new.cells","did.it.migrate","asymp","midp","sca","sample","start.sum","model.start.sum","model.end.sum","pop.growth","perc.clust","cells","asymptote","midpoint","scale","Subsample"
"1","26B.1.4",24,25,1.99364328878106,"No",909.0273,13.3691,3.2372,"26B.1.4",876.188799917987,876.188799917987,884.681987451146,8.49318753315913,0.00227535810657208,2.01296833188527,909.0273,13.3691,3.2372,3
"2","26B.1.4",24,25,1.75550853392454,"No",909.0273,13.3691,3.2372,"26B.1.4",876.188799917987,876.188799917987,884.681987451146,8.49318753315913,0.00200357335552436,1.77252525816945,909.0273,13.3691,3.2372,3
"3","26B.1.4",24,25,1.462427829099,"No",909.0273,13.3691,3.2372,"26B.1.4",876.188799917987,876.188799917987,884.681987451146,8.49318753315913,0.0016690784329084,1.47660362523724,909.0273,13.3691,3.2372,3
"4","26B.1.4",24,25,1.34863206526202,"No",909.0273,13.3691,3.2372,"26B.1.4",876.188799917987,876.188799917987,884.681987451146,8.49318753315913,0.00153920258440676,1.36170480146291,909.0273,13.3691,3.2372,3
"5","26B.1.4",24,25,1.37518307527993,"Yes",909.0273,13.3691,3.2372,"26B.1.4",876.188799917987,876.188799917987,884.681987451146,8.49318753315913,0.00156950542555286,1.38851317919346,909.0273,13.3691,3.2372,3
"6","26B.1.4",24,25,67.1665023434809,"Yes",909.0273,13.3691,3.2372,"26B.1.4",876.188799917987,876.188799917987,884.681987451146,8.49318753315913,0.0766575678093213,67.8175694427213,909.0273,13.3691,3.2372,3
"7","26B.1.4",24,25,1.51746118694392,"No",909.0273,13.3691,3.2372,"26B.1.4",876.188799917987,876.188799917987,884.681987451146,8.49318753315913,0.00173188836365628,1.53217043960295,909.0273,13.3691,3.2372,3
"8","26B.1.4",24,25,7.68371212036648,"No",909.0273,13.3691,3.2372,"26B.1.4",876.188799917987,876.188799917987,884.681987451146,8.49318753315913,0.00876947082761808,7.75819288067201,909.0273,13.3691,3.2372,3
"9","26B.1.4",24,25,1.59284338073056,"No",909.0273,13.3691,3.2372,"26B.1.4",876.188799917987,876.188799917987,884.681987451146,8.49318753315913,0.00181792255376884,1.60828333790048,909.0273,13.3691,3.2372,3
"10","26B.1.4",24,25,1.81691011954373,"No",909.0273,13.3691,3.2372,"26B.1.4",876.188799917987,876.188799917987,884.681987451146,8.49318753315913,0.00207365138622383,1.83452202964532,909.0273,13.3691,3.2372,3
"11","26B.1.4",24,25,1.56542226451553,"No",909.0273,13.3691,3.2372,"26B.1.4",876.188799917987,876.188799917987,884.681987451146,8.49318753315913,0.00178662665473704,1.58059641974595,909.0273,13.3691,3.2372,3
"12","26B.1.4",24,25,1.0747206260285,"No",909.0273,13.3691,3.2372,"26B.1.4",876.188799917987,876.188799917987,884.681987451146,8.49318753315913,0.00122658566981122,1.08513824814769,909.0273,13.3691,3.2372,3
"13","26B.1.4",24,25,1.20567625494245,"No",909.0273,13.3691,3.2372,"26B.1.4",876.188799917987,876.188799917987,884.681987451146,8.49318753315913,0.00137604618440147,1.21736327324086,909.0273,13.3691,3.2372,3
"14","26B.1.4",24,25,1.41556586597166,"No",909.0273,13.3691,3.2372,"26B.1.4",876.188799917987,876.188799917987,884.681987451146,8.49318753315913,0.00161559456832153,1.42928741361797,909.0273,13.3691,3.2372,3
"15","26B.1.4",24,25,1.50806051447683,"No",909.0273,13.3691,3.2372,"26B.1.4",876.188799917987,876.188799917987,884.681987451146,8.49318753315913,0.00172115931477096,1.52267864331162,909.0273,13.3691,3.2372,3
"16","26B.1.4",24,25,80.7554905142503,"No",909.0273,13.3691,3.2372,"26B.1.4",876.188799917987,876.188799917987,884.681987451146,8.49318753315913,0.092166768762405,81.5382801656747,909.0273,13.3691,3.2372,3
"17","26B.1.4",24,25,1.45445755674442,"No",909.0273,13.3691,3.2372,"26B.1.4",876.188799917987,876.188799917987,884.681987451146,8.49318753315913,0.00165998190901386,1.46855609439933,909.0273,13.3691,3.2372,3
"18","26B.1.4",24,25,1.43906491879056,"No",909.0273,13.3691,3.2372,"26B.1.4",876.188799917987,876.188799917987,884.681987451146,8.49318753315913,0.00164241419078315,1.45301425052001,909.0273,13.3691,3.2372,3
"19","26B.1.4",24,25,2.47857503209945,"No",909.0273,13.3691,3.2372,"26B.1.4",876.188799917987,876.188799917987,884.681987451146,8.49318753315913,0.002828813872457,2.50260067881463,909.0273,13.3691,3.2372,3
"20","26B.1.4",24,25,1.91629314654398,"No",909.0273,13.3691,3.2372,"26B.1.4",876.188799917987,876.188799917987,884.681987451146,8.49318753315913,0.00218707788403978,1.93486840916276,909.0273,13.3691,3.2372,3
"21","26B.1.4",24,25,1.84900302571312,"No",909.0273,13.3691,3.2372,"26B.1.4",876.188799917987,876.188799917987,884.681987451146,8.49318753315913,0.00211027922964341,1.86692602295781,909.0273,13.3691,3.2372,3
"22","26B.1.4",24,25,1.46271528096426,"No",909.0273,13.3691,3.2372,"26B.1.4",876.188799917987,876.188799917987,884.681987451146,8.49318753315913,0.00166940650359965,1.47689386346841,909.0273,13.3691,3.2372,3
"23","26B.1.4",24,25,1.11826335153334,"No",909.0273,13.3691,3.2372,"26B.1.4",876.188799917987,876.188799917987,884.681987451146,8.49318753315913,0.00127628126682059,1.12910304767751,909.0273,13.3691,3.2372,3
"24","26B.1.4",24,25,1.1051101523987,"Yes",909.0273,13.3691,3.2372,"26B.1.4",876.188799917987,876.188799917987,884.681987451146,8.49318753315913,0.00126126943474071,1.1158223502378,909.0273,13.3691,3.2372,3
