"","sample.name","start.day","end.day","new.cells","did.it.migrate","asymp","midp","sca","sample","start.sum","model.start.sum","model.end.sum","pop.growth","perc.clust","tsqrt","tsqrtnorm","cells","asymptote","midpoint","scale","Subsample"
"1","26B.1.4",5,6,6.84091576556084,"No",909.0273,13.3691,3.2372,"26B.1.4",63.7147852004475,63.7147852004475,84.6286904289601,20.9139052285126,0.1073677913853,2.61551443612167,0.11075364440513,9.1572069883621,909.0273,13.3691,3.2372,2
"2","26B.1.4",5,6,8.17624038507244,"No",909.0273,13.3691,3.2372,"26B.1.4",63.7147852004475,63.7147852004475,84.6286904289601,20.9139052285126,0.128325636810199,2.85941259441034,0.121081482600595,10.7085270371091,909.0273,13.3691,3.2372,2
"3","26B.1.4",5,6,8.17624038507244,"No",909.0273,13.3691,3.2372,"26B.1.4",63.7147852004475,63.7147852004475,84.6286904289601,20.9139052285126,0.128325636810199,2.85941259441034,0.121081482600595,10.7085270371091,909.0273,13.3691,3.2372,2
"4","26B.1.4",5,6,5.4603052229874,"No",909.0273,13.3691,3.2372,"26B.1.4",63.7147852004475,63.7147852004475,84.6286904289601,20.9139052285126,0.0856991859237885,2.33672959988686,0.0989485340255148,7.52970548609727,909.0273,13.3691,3.2372,2
"5","26B.1.4",5,6,9.47939701392614,"No",909.0273,13.3691,3.2372,"26B.1.4",63.7147852004475,63.7147852004475,84.6286904289601,20.9139052285126,0.148778607415906,3.07886294172478,0.130374081179055,12.2060281919593,909.0273,13.3691,3.2372,2
"6","26B.1.4",5,6,6.84091576556084,"No",909.0273,13.3691,3.2372,"26B.1.4",63.7147852004475,63.7147852004475,84.6286904289601,20.9139052285126,0.1073677913853,2.61551443612167,0.11075364440513,9.1572069883621,909.0273,13.3691,3.2372,2
"7","26B.1.4",5,6,9.47939701392614,"No",909.0273,13.3691,3.2372,"26B.1.4",63.7147852004475,63.7147852004475,84.6286904289601,20.9139052285126,0.148778607415906,3.07886294172478,0.130374081179055,12.2060281919593,909.0273,13.3691,3.2372,2
"8","26B.1.4",5,6,6.84091576556084,"No",909.0273,13.3691,3.2372,"26B.1.4",63.7147852004475,63.7147852004475,84.6286904289601,20.9139052285126,0.1073677913853,2.61551443612167,0.11075364440513,9.1572069883621,909.0273,13.3691,3.2372,2
"9","26B.1.4",5,6,2.42045788278042,"No",909.0273,13.3691,3.2372,"26B.1.4",63.7147852004475,63.7147852004475,84.6286904289601,20.9139052285126,0.0379889514681032,1.55578208074923,0.0658794051997953,3.79825351963972,909.0273,13.3691,3.2372,2
"10","26B.10.4",5,6,18.2865307960686,"No",1028.765,14.221,7.089,"26B.10.4",220.196055830939,220.196055830939,245.591621722496,25.395565891557,0.0830465864933955,4.2762753414705,0.0683158947095421,20.0214516016055,1028.765,14.221,7.089,2
"11","26B.10.4",5,6,15.8838344180615,"No",1028.765,14.221,7.089,"26B.10.4",220.196055830939,220.196055830939,245.591621722496,25.395565891557,0.0721349633540064,3.98545284981036,0.0636698424484198,17.5007660972654,1028.765,14.221,7.089,2
"12","26B.10.4",5,6,1.10274328492349,"Yes",1028.765,14.221,7.089,"26B.10.4",220.196055830939,220.196055830939,245.591621722496,25.395565891557,0.00500800652746546,1.05011584357322,0.0167761890135214,1.52878409842559,1028.765,14.221,7.089,2
"13","26B.10.4",5,6,1.4345147278998,"Yes",1028.765,14.221,7.089,"26B.10.4",220.196055830939,220.196055830939,245.591621722496,25.395565891557,0.00651471581762204,1.19771228928312,0.0191341249365981,1.92043665850446,1028.765,14.221,7.089,2
"14","26B.10.4",5,6,13.3465764052382,"Yes",1028.765,14.221,7.089,"26B.10.4",220.196055830939,220.196055830939,245.591621722496,25.395565891557,0.0606122410089189,3.65329664895122,0.0583634610222857,14.828749525289,1028.765,14.221,7.089,2
"15","26B.10.4",5,6,18.2865307960686,"No",1028.765,14.221,7.089,"26B.10.4",220.196055830939,220.196055830939,245.591621722496,25.395565891557,0.0830465864933955,4.2762753414705,0.0683158947095421,20.0214516016055,1028.765,14.221,7.089,2
"16","26B.10.4",5,6,1.47796819112031,"Yes",1028.765,14.221,7.089,"26B.10.4",220.196055830939,220.196055830939,245.591621722496,25.395565891557,0.00671205569756006,1.2157171509526,0.0194217626904498,1.97119484525581,1028.765,14.221,7.089,2
"17","26B.10.4",5,6,11.8137343092888,"Yes",1028.765,14.221,7.089,"26B.10.4",220.196055830939,220.196055830939,245.591621722496,25.395565891557,0.0536509805532536,3.43711133210562,0.0549097794503467,13.208199231411,1028.765,14.221,7.089,2
"18","26B.10.4",5,6,1.14370167196263,"Yes",1028.765,14.221,7.089,"26B.10.4",220.196055830939,220.196055830939,245.591621722496,25.395565891557,0.00519401524994041,1.06943988702621,0.0170849014355431,1.57758241211972,1028.765,14.221,7.089,2
"19","26B.10.4",5,6,1.0277365409513,"Yes",1028.765,14.221,7.089,"26B.10.4",220.196055830939,220.196055830939,245.591621722496,25.395565891557,0.00466737034445508,1.01377341696816,0.0161955983847181,1.4390329268836,1028.765,14.221,7.089,2
"20","26B.10.4",5,6,5.65685603067983,"Yes",1028.765,14.221,7.089,"26B.10.4",220.196055830939,220.196055830939,245.591621722496,25.395565891557,0.0256900879052213,2.37841460445395,0.0379965060055369,6.62179880259239,1028.765,14.221,7.089,2
"21","26B.10.4",5,6,15.3013441018256,"No",1028.765,14.221,7.089,"26B.10.4",220.196055830939,220.196055830939,245.591621722496,25.395565891557,0.0694896375145503,3.91169325252193,0.0624914915519497,16.8883508931948,1028.765,14.221,7.089,2
"22","26B.10.4",5,6,15.8838344180615,"No",1028.765,14.221,7.089,"26B.10.4",220.196055830939,220.196055830939,245.591621722496,25.395565891557,0.0721349633540064,3.98545284981036,0.0636698424484198,17.5007660972654,1028.765,14.221,7.089,2
"23","26B.10.4",5,6,18.2865307960686,"No",1028.765,14.221,7.089,"26B.10.4",220.196055830939,220.196055830939,245.591621722496,25.395565891557,0.0830465864933955,4.2762753414705,0.0683158947095421,20.0214516016055,1028.765,14.221,7.089,2
"24","26B.10.4",5,6,18.2865307960686,"No",1028.765,14.221,7.089,"26B.10.4",220.196055830939,220.196055830939,245.591621722496,25.395565891557,0.0830465864933955,4.2762753414705,0.0683158947095421,20.0214516016055,1028.765,14.221,7.089,2
"25","26B.10.4",5,6,15.8838344180615,"No",1028.765,14.221,7.089,"26B.10.4",220.196055830939,220.196055830939,245.591621722496,25.395565891557,0.0721349633540064,3.98545284981036,0.0636698424484198,17.5007660972654,1028.765,14.221,7.089,2
"26","26B.10.4",5,6,10.4031399035094,"No",1028.765,14.221,7.089,"26B.10.4",220.196055830939,220.196055830939,245.591621722496,25.395565891557,0.0472448966638016,3.22538988395347,0.0515274106820298,11.7117076567062,1028.765,14.221,7.089,2
"27","26B.10.4",5,6,10.4031399035094,"No",1028.765,14.221,7.089,"26B.10.4",220.196055830939,220.196055830939,245.591621722496,25.395565891557,0.0472448966638016,3.22538988395347,0.0515274106820298,11.7117076567062,1028.765,14.221,7.089,2
"28","26B.10.4",5,6,1.34965147924377,"Yes",1028.765,14.221,7.089,"26B.10.4",220.196055830939,220.196055830939,245.591621722496,25.395565891557,0.00612931723118599,1.16174501472731,0.0185595275719909,1.82098118461443,1028.765,14.221,7.089,2
"29","26B.10.4",5,6,9.05348842426564,"Yes",1028.765,14.221,7.089,"26B.10.4",220.196055830939,220.196055830939,245.591621722496,25.395565891557,0.0411155794326156,3.00890153116808,0.0480688879411524,10.274225035309,1028.765,14.221,7.089,2
"30","26B.10.4",5,6,15.8838344180615,"No",1028.765,14.221,7.089,"26B.10.4",220.196055830939,220.196055830939,245.591621722496,25.395565891557,0.0721349633540064,3.98545284981036,0.0636698424484198,17.5007660972654,1028.765,14.221,7.089,2
"31","26B.11.4",5,6,11.6130841128024,"No",1439.063,16.83,9.348,"26B.11.4",316.632146257471,316.632146257471,343.840067050066,27.2079207925946,0.0366768954133897,3.40779754574746,0.0362874493014379,12.6003901591612,1439.063,16.83,9.348,2
"32","26B.11.4",5,6,13.9455328621587,"No",1439.063,16.83,9.348,"26B.11.4",316.632146257471,316.632146257471,343.840067050066,27.2079207925946,0.0440433260709379,3.73437181627094,0.0397649291474936,15.0274539047268,1439.063,16.83,9.348,2
"33","26B.11.4",5,6,11.6130841128024,"No",1439.063,16.83,9.348,"26B.11.4",316.632146257471,316.632146257471,343.840067050066,27.2079207925946,0.0366768954133897,3.40779754574746,0.0362874493014379,12.6003901591612,1439.063,16.83,9.348,2
"34","26B.11.4",5,6,13.9455328621587,"No",1439.063,16.83,9.348,"26B.11.4",316.632146257471,316.632146257471,343.840067050066,27.2079207925946,0.0440433260709379,3.73437181627094,0.0397649291474936,15.0274539047268,1439.063,16.83,9.348,2
"35","26B.11.4",5,6,13.9455328621587,"No",1439.063,16.83,9.348,"26B.11.4",316.632146257471,316.632146257471,343.840067050066,27.2079207925946,0.0440433260709379,3.73437181627094,0.0397649291474936,15.0274539047268,1439.063,16.83,9.348,2
"36","26B.11.4",5,6,6.00466951700645,"No",1439.063,16.83,9.348,"26B.11.4",316.632146257471,316.632146257471,343.840067050066,27.2079207925946,0.018964181584152,2.4504427185728,0.0260931920757002,6.71461102022806,1439.063,16.83,9.348,2
"37","26B.11.4",5,6,5.94075890230077,"No",1439.063,16.83,9.348,"26B.11.4",316.632146257471,316.632146257471,343.840067050066,27.2079207925946,0.0187623365868544,2.43736720711114,0.0259539593446222,6.64691217240347,1439.063,16.83,9.348,2
"38","26B.11.4",5,6,5.97276643107935,"No",1439.063,16.83,9.348,"26B.11.4",316.632146257471,316.632146257471,343.840067050066,27.2079207925946,0.0188634240132477,2.44392439144081,0.0260237825928431,6.68081944658912,1439.063,16.83,9.348,2
"39","26B.11.4",5,6,13.9455328621587,"No",1439.063,16.83,9.348,"26B.11.4",316.632146257471,316.632146257471,343.840067050066,27.2079207925946,0.0440433260709379,3.73437181627094,0.0397649291474936,15.0274539047268,1439.063,16.83,9.348,2
"40","26B.11.4",5,6,9.03255372934607,"No",1439.063,16.83,9.348,"26B.11.4",316.632146257471,316.632146257471,343.840067050066,27.2079207925946,0.0285269636583305,3.00542072418257,0.0320027967313842,9.90328328795507,1439.063,16.83,9.348,2
"41","26B.11.4",5,6,1.00004619577201,"Yes",1439.063,16.83,9.348,"26B.11.4",316.632146257471,316.632146257471,343.840067050066,27.2079207925946,0.00315838491951104,1.00002309761926,0.0106486042577292,1.28977257696799,1439.063,16.83,9.348,2
"42","26B.11.4",5,6,15.1193975803504,"Yes",1439.063,16.83,9.348,"26B.11.4",316.632146257471,316.632146257471,343.840067050066,27.2079207925946,0.0477506714307397,3.88836695546478,0.0414047245670125,16.2459340468089,1439.063,16.83,9.348,2
"43","26B.11.4",5,6,1.23605659793131,"Yes",1439.063,16.83,9.348,"26B.11.4",316.632146257471,316.632146257471,343.840067050066,27.2079207925946,0.00390376218126066,1.11178082279346,0.0118386405588481,1.55816139254845,1439.063,16.83,9.348,2
"44","26B.11.4",5,6,18.9206467067149,"Yes",1439.063,16.83,9.348,"26B.11.4",316.632146257471,316.632146257471,343.840067050066,27.2079207925946,0.0597559247548081,4.34978697256715,0.0463180902386807,20.1808656371931,1439.063,16.83,9.348,2
"45","26B.11.4",5,6,16.1194437761224,"No",1439.063,16.83,9.348,"26B.11.4",316.632146257471,316.632146257471,343.840067050066,27.2079207925946,0.0509090563502508,4.01490271066715,0.0427521226269281,17.2826401422712,1439.063,16.83,9.348,2
"46","26B.11.4",5,6,1.25470298634376,"Yes",1439.063,16.83,9.348,"26B.11.4",316.632146257471,316.632146257471,343.840067050066,27.2079207925946,0.00396265193276836,1.12013525359385,0.0119276015314533,1.57922822405718,1439.063,16.83,9.348,2
"47","26B.11.4",5,6,4.71806344473558,"Yes",1439.063,16.83,9.348,"26B.11.4",316.632146257471,316.632146257471,343.840067050066,27.2079207925946,0.0149007720804794,2.17211036661022,0.02312940946385,5.3473665854075,1439.063,16.83,9.348,2
"48","26B.11.4",5,6,13.9455328621587,"No",1439.063,16.83,9.348,"26B.11.4",316.632146257471,316.632146257471,343.840067050066,27.2079207925946,0.0440433260709379,3.73437181627094,0.0397649291474936,15.0274539047268,1439.063,16.83,9.348,2
"49","26B.11.4",5,6,16.1194437761224,"No",1439.063,16.83,9.348,"26B.11.4",316.632146257471,316.632146257471,343.840067050066,27.2079207925946,0.0509090563502508,4.01490271066715,0.0427521226269281,17.2826401422712,1439.063,16.83,9.348,2
"50","26B.11.4",5,6,1.32114960699808,"Yes",1439.063,16.83,9.348,"26B.11.4",316.632146257471,316.632146257471,343.840067050066,27.2079207925946,0.00417250624301355,1.14941272265365,0.012239358512295,1.65415710395277,1439.063,16.83,9.348,2
"51","26B.11.4",5,6,16.8595907591873,"Yes",1439.063,16.83,9.348,"26B.11.4",316.632146257471,316.632146257471,343.840067050066,27.2079207925946,0.0532466174343455,4.10604319986861,0.0437226192121297,18.0491923195557,1439.063,16.83,9.348,2
"52","26B.11.4",5,6,9.03255372934607,"No",1439.063,16.83,9.348,"26B.11.4",316.632146257471,316.632146257471,343.840067050066,27.2079207925946,0.0285269636583305,3.00542072418257,0.0320027967313842,9.90328328795507,1439.063,16.83,9.348,2
"53","26B.11.4",5,6,1.14337392392568,"Yes",1439.063,16.83,9.348,"26B.11.4",316.632146257471,316.632146257471,343.840067050066,27.2079207925946,0.00361104814353228,1.06928664254525,0.0113861473016451,1.45316731784166,1439.063,16.83,9.348,2
"54","26B.11.4",5,6,12.802158938233,"Yes",1439.063,16.83,9.348,"26B.11.4",316.632146257471,316.632146257471,343.840067050066,27.2079207925946,0.0404322779274056,3.57801047206866,0.0380999375292195,13.8387790207308,1439.063,16.83,9.348,2
"55","26B.11.4",5,6,16.1194437761224,"No",1439.063,16.83,9.348,"26B.11.4",316.632146257471,316.632146257471,343.840067050066,27.2079207925946,0.0509090563502508,4.01490271066715,0.0427521226269281,17.2826401422712,1439.063,16.83,9.348,2
"56","26B.11.4",5,6,1.32027570217149,"Yes",1439.063,16.83,9.348,"26B.11.4",316.632146257471,316.632146257471,343.840067050066,27.2079207925946,0.00416974624268852,1.14903250701253,0.0122353098399147,1.65317304316875,1439.063,16.83,9.348,2
"57","26B.11.4",5,6,22.5980235910665,"Yes",1439.063,16.83,9.348,"26B.11.4",316.632146257471,316.632146257471,343.840067050066,27.2079207925946,0.0713699599303819,4.75373785468515,0.0506195039694994,23.9752750456291,1439.063,16.83,9.348,2
"58","26B.11.4",5,6,9.03255372934607,"No",1439.063,16.83,9.348,"26B.11.4",316.632146257471,316.632146257471,343.840067050066,27.2079207925946,0.0285269636583305,3.00542072418257,0.0320027967313842,9.90328328795507,1439.063,16.83,9.348,2
"59","26B.11.4",5,6,1.02919025538489,"Yes",1439.063,16.83,9.348,"26B.11.4",316.632146257471,316.632146257471,343.840067050066,27.2079207925946,0.00325042882584638,1.01449014553365,0.0108026545675519,1.3231080252086,1439.063,16.83,9.348,2
"60","26B.11.4",5,6,8.00336347396117,"Yes",1439.063,16.83,9.348,"26B.11.4",316.632146257471,316.632146257471,343.840067050066,27.2079207925946,0.0252765348324841,2.82902164607505,0.0301244361428466,8.82298674645732,1439.063,16.83,9.348,2
"61","26B.11.4",5,6,9.03255372934607,"No",1439.063,16.83,9.348,"26B.11.4",316.632146257471,316.632146257471,343.840067050066,27.2079207925946,0.0285269636583305,3.00542072418257,0.0320027967313842,9.90328328795507,1439.063,16.83,9.348,2
"62","26B.11.4",5,6,13.9455328621587,"No",1439.063,16.83,9.348,"26B.11.4",316.632146257471,316.632146257471,343.840067050066,27.2079207925946,0.0440433260709379,3.73437181627094,0.0397649291474936,15.0274539047268,1439.063,16.83,9.348,2
"63","26B.12.4",5,6,18.4665651633332,"No",1504.436,14.75,4.604,"26B.12.4",161.555464998828,161.555464998828,195.651129229979,34.0956642311506,0.114304800295472,4.2972741550119,0.0968098052389691,21.7673597770442,1504.436,14.75,4.604,2
"64","26B.12.4",5,6,16.0448620514575,"No",1504.436,14.75,4.604,"26B.12.4",161.555464998828,161.555464998828,195.651129229979,34.0956642311506,0.0993148826724856,4.00560383106685,0.0902390009950335,19.1216207299386,1504.436,14.75,4.604,2
"65","26B.12.4",5,6,16.0448620514575,"No",1504.436,14.75,4.604,"26B.12.4",161.555464998828,161.555464998828,195.651129229979,34.0956642311506,0.0993148826724856,4.00560383106685,0.0902390009950335,19.1216207299386,1504.436,14.75,4.604,2
"66","26B.12.4",5,6,7.02243102572873,"No",1504.436,14.75,4.604,"26B.12.4",161.555464998828,161.555464998828,195.651129229979,34.0956642311506,0.0434676166837171,2.6499869859546,0.0596994082159873,9.05792200305943,1504.436,14.75,4.604,2
"67","26B.12.4",5,6,8.45888141482661,"No",1504.436,14.75,4.604,"26B.12.4",161.555464998828,161.555464998828,195.651129229979,34.0956642311506,0.0523589927142853,2.90841561934099,0.065521337365453,10.692874933615,1504.436,14.75,4.604,2
"68","26B.12.4",5,6,1.0315150126582,"Yes",1504.436,14.75,4.604,"26B.12.4",161.555464998828,161.555464998828,195.651129229979,34.0956642311506,0.0063848970548021,1.01563527541052,0.0228804236498723,1.81163825489072,1504.436,14.75,4.604,2
"69","26B.12.4",5,6,14.0439497762517,"Yes",1504.436,14.75,4.604,"26B.12.4",161.555464998828,161.555464998828,195.651129229979,34.0956642311506,0.0869295865438756,3.74752582062508,0.0844249707456045,16.9224752315185,1504.436,14.75,4.604,2
"70","26B.12.4",5,6,1.41204457706073,"Yes",1504.436,14.75,4.604,"26B.12.4",161.555464998828,161.555464998828,195.651129229979,34.0956642311506,0.00874030833355577,1.18829481908352,0.0267701305181524,2.32478995863173,1504.436,14.75,4.604,2
"71","26B.12.4",5,6,17.0545205862725,"Yes",1504.436,14.75,4.604,"26B.12.4",161.555464998828,161.555464998828,195.651129229979,34.0956642311506,0.105564491961917,4.12971192533723,0.0930349316248914,20.2266083767228,1504.436,14.75,4.604,2
"72","26B.12.4",5,6,7.42764365640582,"No",1504.436,14.75,4.604,"26B.12.4",161.555464998828,161.555464998828,195.651129229979,34.0956642311506,0.0459758118145969,2.72537037050119,0.061397659366126,9.52103763473181,1504.436,14.75,4.604,2
"73","26B.12.4",5,6,13.1477697379245,"No",1504.436,14.75,4.604,"26B.12.4",161.555464998828,161.555464998828,195.651129229979,34.0956642311506,0.0813823892495365,3.62598534717454,0.081686883963388,15.9329383056291,1504.436,14.75,4.604,2
"74","26B.12.4",5,6,1.35446834700648,"Yes",1504.436,14.75,4.604,"26B.12.4",161.555464998828,161.555464998828,195.651129229979,34.0956642311506,0.00838392156536644,1.1638162857627,0.0262186734879881,2.24841143483909,1504.436,14.75,4.604,2
"75","26B.12.4",5,6,17.1120968163268,"Yes",1504.436,14.75,4.604,"26B.12.4",161.555464998828,161.555464998828,195.651129229979,34.0956642311506,0.105920878730106,4.1366770258659,0.093191842727448,20.289534595044,1504.436,14.75,4.604,2
"76","26B.12.4",5,6,22.9338547821179,"No",1504.436,14.75,4.604,"26B.12.4",161.555464998828,161.555464998828,195.651129229979,34.0956642311506,0.141956539707798,4.78893044239712,0.107885931106053,26.6122972643749,1504.436,14.75,4.604,2
"77","26B.2.4",5,6,4.37980152140226,"No",1094.558,19.053,3.419,"26B.2.4",17.6647198670855,17.6647198670855,23.5372544823089,5.87253461522344,0.247940615778635,2.09279753473724,0.226782969688372,5.7115923610404,1094.558,19.053,3.419,2
"78","26B.2.4",5,6,1.39097389980604,"No",1094.558,19.053,3.419,"26B.2.4",17.6647198670855,17.6647198670855,23.5372544823089,5.87253461522344,0.07874304887211,1.17939556545124,0.127803489984477,2.14150431868624,1094.558,19.053,3.419,2
"79","26B.2.4",5,6,3.13434140307262,"No",1094.558,19.053,3.419,"26B.2.4",17.6647198670855,17.6647198670855,23.5372544823089,5.87253461522344,0.177435103791984,1.770407129186,0.191847600950408,4.26097308050146,1094.558,19.053,3.419,2
"80","26B.2.4",5,6,4.37980152140226,"No",1094.558,19.053,3.419,"26B.2.4",17.6647198670855,17.6647198670855,23.5372544823089,5.87253461522344,0.247940615778635,2.09279753473724,0.226782969688372,5.7115923610404,1094.558,19.053,3.419,2
"81","26B.2.4",5,6,4.37980152140226,"No",1094.558,19.053,3.419,"26B.2.4",17.6647198670855,17.6647198670855,23.5372544823089,5.87253461522344,0.247940615778635,2.09279753473724,0.226782969688372,5.7115923610404,1094.558,19.053,3.419,2
"82","26B.3.4",5,6,6.6302916056015,"No",1539.66,19.03,11.45,"26B.3.4",349.503230703062,349.503230703062,373.65909659925,24.1558658961882,0.0189706160720288,2.57493526240981,0.0269319430074188,7.28085600921249,1539.66,19.03,11.45,2
"83","26B.3.4",5,6,21.8963513971961,"No",1539.66,19.03,11.45,"26B.3.4",349.503230703062,349.503230703062,373.65909659925,24.1558658961882,0.0626499255905284,4.67935373713039,0.048942623917467,23.078602857154,1539.66,19.03,11.45,2
"84","26B.3.4",5,6,15.260583211203,"No",1539.66,19.03,11.45,"26B.3.4",349.503230703062,349.503230703062,373.65909659925,24.1558658961882,0.0436636399054302,3.90647964428371,0.040858925144793,16.247565927663,1539.66,19.03,11.45,2
"85","26B.3.4",5,6,15.260583211203,"No",1539.66,19.03,11.45,"26B.3.4",349.503230703062,349.503230703062,373.65909659925,24.1558658961882,0.0436636399054302,3.90647964428371,0.040858925144793,16.247565927663,1539.66,19.03,11.45,2
"86","26B.3.4",5,6,15.260583211203,"No",1539.66,19.03,11.45,"26B.3.4",349.503230703062,349.503230703062,373.65909659925,24.1558658961882,0.0436636399054302,3.90647964428371,0.040858925144793,16.247565927663,1539.66,19.03,11.45,2
"87","26B.3.4",5,6,9.96243474875703,"No",1539.66,19.03,11.45,"26B.3.4",349.503230703062,349.503230703062,373.65909659925,24.1558658961882,0.0285045569642276,3.15633248387381,0.0330129334935586,10.7598907430672,1539.66,19.03,11.45,2
"88","26B.3.4",5,6,7.671929919049,"No",1539.66,19.03,11.45,"26B.3.4",349.503230703062,349.503230703062,373.65909659925,24.1558658961882,0.0219509556567363,2.76982488960024,0.0289703462282118,8.37173371750383,1539.66,19.03,11.45,2
"89","26B.3.4",5,6,14.5637960104769,"No",1539.66,19.03,11.45,"26B.3.4",349.503230703062,349.503230703062,373.65909659925,24.1558658961882,0.0416699896627002,3.81625418577916,0.0399152327181381,15.5279830192314,1539.66,19.03,11.45,2
"90","26B.3.4",5,6,15.260583211203,"No",1539.66,19.03,11.45,"26B.3.4",349.503230703062,349.503230703062,373.65909659925,24.1558658961882,0.0436636399054302,3.90647964428371,0.040858925144793,16.247565927663,1539.66,19.03,11.45,2
"91","26B.3.4",5,6,9.96243474875703,"No",1539.66,19.03,11.45,"26B.3.4",349.503230703062,349.503230703062,373.65909659925,24.1558658961882,0.0285045569642276,3.15633248387381,0.0330129334935586,10.7598907430672,1539.66,19.03,11.45,2
"92","26B.3.4",5,6,6.6302916056015,"No",1539.66,19.03,11.45,"26B.3.4",349.503230703062,349.503230703062,373.65909659925,24.1558658961882,0.0189706160720288,2.57493526240981,0.0269319430074188,7.28085600921249,1539.66,19.03,11.45,2
"93","26B.3.4",5,6,15.260583211203,"No",1539.66,19.03,11.45,"26B.3.4",349.503230703062,349.503230703062,373.65909659925,24.1558658961882,0.0436636399054302,3.90647964428371,0.040858925144793,16.247565927663,1539.66,19.03,11.45,2
"94","26B.3.4",5,6,1.19717065206729,"Yes",1539.66,19.03,11.45,"26B.3.4",349.503230703062,349.503230703062,373.65909659925,24.1558658961882,0.00342534931553867,1.09415293815229,0.0114440409442136,1.4736113704262,1539.66,19.03,11.45,2
"95","26B.3.4",5,6,8.76526409668974,"Yes",1539.66,19.03,11.45,"26B.3.4",349.503230703062,349.503230703062,373.65909659925,24.1558658961882,0.025079207648689,2.96061887055557,0.0309659119794216,9.51327251381781,1539.66,19.03,11.45,2
"96","26B.3.4",5,6,6.6302916056015,"No",1539.66,19.03,11.45,"26B.3.4",349.503230703062,349.503230703062,373.65909659925,24.1558658961882,0.0189706160720288,2.57493526240981,0.0269319430074188,7.28085600921249,1539.66,19.03,11.45,2
"97","26B.3.4",5,6,19.7913415367991,"No",1539.66,19.03,11.45,"26B.3.4",349.503230703062,349.503230703062,373.65909659925,24.1558658961882,0.0566270632090775,4.44874606342047,0.0465306360061218,20.9153293402273,1539.66,19.03,11.45,2
"98","26B.3.4",5,6,9.96243474875703,"No",1539.66,19.03,11.45,"26B.3.4",349.503230703062,349.503230703062,373.65909659925,24.1558658961882,0.0285045569642276,3.15633248387381,0.0330129334935586,10.7598907430672,1539.66,19.03,11.45,2
"99","26B.3.4",5,6,1.48514037071262,"Yes",1539.66,19.03,11.45,"26B.3.4",349.503230703062,349.503230703062,373.65909659925,24.1558658961882,0.00424928939204682,1.21866335413543,0.0127463289962828,1.79303898461552,1539.66,19.03,11.45,2
"100","26B.3.4",5,6,5.14515123488888,"Yes",1539.66,19.03,11.45,"26B.3.4",349.503230703062,349.503230703062,373.65909659925,24.1558658961882,0.014721326679982,2.26829258141204,0.0237246844293739,5.71824153039422,1539.66,19.03,11.45,2
"101","26B.3.4",5,6,17.5897147632714,"No",1539.66,19.03,11.45,"26B.3.4",349.503230703062,349.503230703062,373.65909659925,24.1558658961882,0.0503277601408372,4.19400938998369,0.0438662763730652,18.6493426527043,1539.66,19.03,11.45,2
"102","26B.3.4",5,6,19.7913415367991,"No",1539.66,19.03,11.45,"26B.3.4",349.503230703062,349.503230703062,373.65909659925,24.1558658961882,0.0566270632090775,4.44874606342047,0.0465306360061218,20.9153293402273,1539.66,19.03,11.45,2
